"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"gene217",0.0310545069898484,0.0877887648960943,-167.535216464422,-173.678938141642,7,2,792.310378056067,0,0,FALSE
"gene218",0.427863507421112,0.62544935283474,-172.709806522538,-175.161182490888,7,2,1106.084141515,0,0,FALSE
"gene219",0.787282407088053,0.887253631366565,-150.037139239616,-151.251188749806,7,2,443.22186991128,0,0,FALSE
"gene220",0.541454583052544,0.714006043585772,-181.490492114719,-183.518237703775,7,2,1792.37120582837,0,0,FALSE
"gene221",0.00695671670264168,0.0230609393457735,-170.577376595495,-178.557806018293,7,2,1188.01686821246,0,0,FALSE
"gene222",0.000764093173566629,0.00322856270521111,-147.726380930852,-158.293496243503,7,2,379.869566988827,0,0,FALSE
"gene223",0.830196858985541,0.899130172186507,-148.209724658302,-149.277121728817,7,2,414.783708771834,0,0,FALSE
"gene224",0.139957204469358,0.286601783896297,-113.103197209429,-117.25820740246,7,2,96.4303335192075,0,0,FALSE
"gene225",0.000116100768275787,0.000570987384962888,-132.964022432557,-145.668979159421,7,2,203.372080097574,0,0,FALSE
"gene226",0.00384251437658196,0.0137232656306498,-153.163844083253,-161.850836183051,7,2,598.67300508773,0,0,FALSE
"gene227",0.00839359688847453,0.0275199897982771,-156.7199382914,-164.474654150348,7,2,566.278961841032,0,0,FALSE
"gene228",0.0995722242287558,0.222094180435886,-176.027460346206,-180.651455117529,7,2,1193.84495073734,0,0,FALSE
"gene229",3.8985056510337e-62,7.7970113020674e-60,-93.8946709303744,-242.521907896372,7,2,80.3348026733393,0,0,FALSE
"gene230",0.81157255692133,0.897388676944143,-164.548173106391,-165.680059982875,7,2,760.774651179393,0,0,FALSE
"gene231",4.18224988378536e-12,4.82567294282926e-11,-127.408862948175,-158.52893328645,7,2,187.416521925616,0,0,FALSE
"gene232",0.0860795808151898,0.197128811027152,-115.736407212127,-120.556763804503,7,2,88.4323398775536,0,0,FALSE
"gene233",2.33282563721499e-20,5.59878152931597e-19,-113.001887428267,-163.844277034309,7,2,120.115879236853,0,0,FALSE
"gene234",0.0342741291239288,0.0943324654787032,-75.0960875164234,-81.1149637923693,7,2,21.9817589463878,0,0,FALSE
"gene235",1.02292570619245e-05,5.79014550674974e-05,-69.6872056423438,-85.0903587654212,7,2,13.7951514985552,0,0,FALSE
"gene236",0.349725158811332,0.552197619175787,-144.549049361163,-147.336859114752,7,2,370.877520671089,0,0,FALSE
"gene237",4.66519316434117e-11,4.66519316434117e-10,-156.554307174406,-185.139253349057,7,2,769.009109422616,0,0,FALSE
