"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"gene182",2.01834973302458e-10,1.7550867243692e-09,-112.789301675488,-139.82909822392,7,2,107.196475637884,0,0,FALSE
"gene183",0.227359116552178,0.309332131363508,-163.005636410988,-166.461037000958,7,2,922.436294134415,0,0,FALSE
"gene184",1.85152490581974e-17,3.36640891967226e-16,-133.472657942726,-177.424483373946,7,2,238.645950897187,0,0,FALSE
"gene185",0.206152270127319,0.287320237111246,-174.081955102648,-177.682194794142,7,2,1147.16514894283,0,0,FALSE
"gene186",1.82647082623686e-05,7.53183845870868e-05,-135.578835390147,-150.342757267556,7,2,272.570541696909,0,0,FALSE
"gene187",0.136406524501252,0.209856191540388,-156.374957738482,-160.565907501733,7,2,794.740895354981,0,0,FALSE
"gene188",0.0143902311389614,0.0298651893580198,-167.41092179656,-174.510704403026,7,2,912.294017944804,0,0,FALSE
"gene189",0.000101151401883002,0.000348797937527592,-153.353725606417,-166.213308588119,7,2,526.845932814197,0,0,FALSE
"gene190",0.171953188821663,0.252872336502445,-160.320163110799,-164.183527104018,7,2,727.743187970519,0,0,FALSE
"gene191",2.96708295888915e-07,1.72004809210965e-06,-140.076062867495,-159.335744856996,7,2,387.422679773761,0,0,FALSE
"gene192",0.473661467064281,0.546007454829142,-136.479524160228,-138.752866968834,7,2,338.806138338903,0,0,FALSE
"gene193",0.00218474741242847,0.0058650937246402,-103.36653762601,-112.717062561535,7,2,62.5959065313218,0,0,FALSE
"gene194",0.219556319112361,0.302836302223946,-155.860508146539,-159.367811056674,7,2,772.4514956585,0,0,FALSE
"gene195",2.72028838163514e-06,1.34335228722723e-05,-137.051140810828,-153.905781307363,7,2,376.781733151565,0,0,FALSE
"gene196",8.18592377984356e-06,3.63818834659714e-05,-155.029774383864,-170.677965823704,7,2,719.967759647317,0,0,FALSE
"gene197",0.411207959189965,0.49394349452248,-112.325633131315,-114.84484903361,7,2,92.3870071988653,0,0,FALSE
"gene198",1.08769962668157e-09,8.70159701345254e-09,-147.301219547233,-172.558170921362,7,2,451.53856461894,0,0,FALSE
"gene199",6.08128610692562e-27,1.87116495597711e-25,-117.203509311469,-183.599365200796,7,2,188.064741129805,0,0,FALSE
